policy_name,policy_meaning,lambda,gamma,activation_cost_K,rank_by_final_score,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,p1,p2,p3,p4,r,lambda_label,speed_preference,eta_T_percent,eta_E_percent,mean_score,std_score,risk_penalty,activation_cost_factor_phi,activation_penalty,final_integrated_score,final_recommendation,selected_mode,recommended_speed_multiplier,opt_speed_2arm,opt_speed_3arm,opt_obj_2arm,opt_obj_3arm,speed_objective_gain_3arm_vs_2arm_percent,sample_count,robust_data_source,model_note
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,11,2222,balanced,8,2,2,2,2,0.25,0.25,0.25,0.25,1.0,2,efficiency_first,26.97,3.89,19.18,0.87,0.43,1.2094,4.84,13.91,recommend_3arm,3arm,1.26,1.4,1.26,0.9058,0.7569,16.44,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,12,1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,2,efficiency_first,29.54,4.15,21.24,7.39,3.69,1.1121,4.45,13.1,recommend_3arm,3arm,1.24,1.4,1.24,0.9058,0.7387,18.45,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,13,2211,single_arm_dominant,6,2,2,1,1,0.3333,0.3333,0.1667,0.1667,0.75,2,efficiency_first,27.5,4.94,17.62,1.5,0.75,1.1259,4.5,12.37,recommend_3arm,3arm,1.25,1.4,1.25,0.9058,0.7562,16.52,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,14,1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,2,efficiency_first,29.14,4.46,20.21,6.97,3.48,1.0941,4.38,12.35,recommend_3arm,3arm,1.24,1.4,1.24,0.9058,0.7413,18.16,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,15,2122,dual_arm_dominant,7,2,1,2,2,0.2857,0.1429,0.2857,0.2857,0.875,2,efficiency_first,25.48,4.08,17.32,2.39,1.2,1.1705,4.68,11.44,recommend_3arm,3arm,1.27,1.4,1.27,0.9058,0.7666,15.37,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,16,1122,dual_arm_dominant,6,1,1,2,2,0.1667,0.1667,0.3333,0.3333,0.75,2,efficiency_first,23.91,3.7,16.5,5.61,2.81,1.1384,4.55,9.14,recommend_3arm,3arm,1.28,1.4,1.28,0.9058,0.7741,14.54,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,1,1212,mixed_balanced,6,1,2,1,2,0.1667,0.3333,0.1667,0.3333,0.75,5,balanced,37.66,3.86,18.37,5.98,5.98,1.1384,9.11,3.28,recommend_3arm,3arm,0.75,0.89,0.75,0.989,0.7736,21.79,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,2,1221,mixed_balanced,6,1,2,2,1,0.1667,0.3333,0.3333,0.1667,0.75,5,balanced,34.0,4.23,12.87,3.03,3.03,1.1259,9.01,0.83,recommend_3arm,3arm,0.77,0.89,0.77,0.989,0.7999,19.13,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,3,2212,single_arm_dominant,7,2,2,1,2,0.2857,0.2857,0.1429,0.2857,0.875,5,balanced,31.99,4.36,10.21,1.47,1.47,1.1705,9.36,-0.62,recommend_2arm,2arm,0.89,0.89,0.77,0.989,0.8146,17.64,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,4,1222,dual_arm_dominant,7,1,2,2,2,0.1429,0.2857,0.2857,0.2857,0.875,5,balanced,30.5,3.45,13.25,5.23,5.23,1.1705,9.36,-1.34,recommend_2arm,2arm,0.89,0.89,0.78,0.989,0.8192,17.17,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,5,2121,mixed_balanced,6,2,1,2,1,0.3333,0.1667,0.3333,0.1667,0.75,5,balanced,32.19,4.63,9.03,1.96,1.96,1.1259,9.01,-1.94,recommend_2arm,2arm,0.89,0.89,0.77,0.989,0.8147,17.63,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,6,2221,single_arm_dominant,7,2,2,2,1,0.2857,0.2857,0.2857,0.1429,0.875,5,balanced,32.01,4.72,8.41,1.14,1.14,1.1613,9.29,-2.02,recommend_2arm,2arm,0.89,0.89,0.77,0.989,0.8159,17.5,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,7,2222,balanced,8,2,2,2,2,0.25,0.25,0.25,0.25,1.0,5,balanced,26.97,3.89,7.5,1.06,1.06,1.2094,9.67,-3.23,recommend_2arm,2arm,0.89,0.89,0.79,0.989,0.845,14.57,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,8,2112,mixed_balanced,6,2,1,1,2,0.3333,0.1667,0.1667,0.3333,0.75,5,balanced,32.37,4.63,9.22,4.22,4.22,1.1384,9.11,-4.11,recommend_2arm,2arm,0.89,0.89,0.77,0.989,0.8128,17.81,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,9,1211,single_arm_dominant,5,1,2,1,1,0.2,0.4,0.2,0.2,0.625,5,balanced,35.27,4.88,10.86,7.3,7.3,1.0941,8.75,-5.19,recommend_2arm,2arm,0.89,0.89,0.76,0.989,0.7916,19.96,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,10,1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,5,balanced,38.19,5.37,11.32,9.83,9.83,1.0594,8.47,-6.98,recommend_2arm,2arm,0.89,0.89,0.75,0.989,0.7748,21.67,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,11,2211,single_arm_dominant,6,2,2,1,1,0.3333,0.3333,0.1667,0.1667,0.75,5,balanced,27.5,4.94,2.79,1.3,1.3,1.1259,9.01,-7.52,recommend_2arm,2arm,0.89,0.89,0.79,0.989,0.8452,14.54,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,12,1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,5,balanced,29.54,4.15,8.78,7.58,7.58,1.1121,8.9,-7.7,recommend_2arm,2arm,0.89,0.89,0.78,0.989,0.8271,16.37,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,13,2122,dual_arm_dominant,7,2,1,2,2,0.2857,0.1429,0.2857,0.2857,0.875,5,balanced,25.48,4.08,5.07,3.79,3.79,1.1705,9.36,-8.08,recommend_2arm,2arm,0.89,0.89,0.8,0.989,0.8547,13.58,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,14,1122,dual_arm_dominant,6,1,1,2,2,0.1667,0.1667,0.3333,0.3333,0.75,5,balanced,23.91,3.7,5.38,5.64,5.64,1.1384,9.11,-9.37,recommend_2arm,2arm,0.89,0.89,0.81,0.989,0.8619,12.86,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,15,1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,5,balanced,29.14,4.46,6.82,8.0,8.0,1.0941,8.75,-9.93,recommend_2arm,2arm,0.89,0.89,0.78,0.989,0.83,16.08,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
balanced_operation,balanced time-energy preference with moderate robustness requirement,5,1,8,16,2111,single_arm_dominant,5,2,1,1,1,0.4,0.2,0.2,0.2,0.625,5,balanced,33.11,5.93,3.47,7.87,7.87,1.0941,8.75,-13.15,recommend_2arm,2arm,0.89,0.89,0.77,0.989,0.8113,17.97,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,1,1212,mixed_balanced,6,1,2,1,2,0.1667,0.3333,0.1667,0.3333,0.75,8,energy_first,37.66,3.86,6.8,6.7,10.05,1.1384,11.38,-14.63,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6653,14.15,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,2,1221,mixed_balanced,6,1,2,2,1,0.1667,0.3333,0.3333,0.1667,0.75,8,energy_first,34.0,4.23,0.2,3.16,4.74,1.1259,11.26,-15.8,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6796,12.31,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,3,1222,dual_arm_dominant,7,1,2,2,2,0.1429,0.2857,0.2857,0.2857,0.875,8,energy_first,30.5,3.45,2.91,5.69,8.54,1.1705,11.7,-17.33,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6876,11.27,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,4,2222,balanced,8,2,2,2,2,0.25,0.25,0.25,0.25,1.0,8,energy_first,26.97,3.89,-4.18,1.25,1.88,1.2094,12.09,-18.15,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7022,9.38,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,5,2212,single_arm_dominant,7,2,2,1,2,0.2857,0.2857,0.1429,0.2857,0.875,8,energy_first,31.99,4.36,-2.87,2.47,3.71,1.1705,11.7,-18.28,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6875,11.29,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,6,2221,single_arm_dominant,7,2,2,2,1,0.2857,0.2857,0.2857,0.1429,0.875,8,energy_first,32.01,4.72,-5.74,1.71,2.56,1.1613,11.61,-19.92,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6891,11.08,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,7,2121,mixed_balanced,6,2,1,2,1,0.3333,0.1667,0.3333,0.1667,0.75,8,energy_first,32.19,4.63,-4.86,2.75,4.12,1.1259,11.26,-20.24,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6882,11.2,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,8,2211,single_arm_dominant,6,2,2,1,1,0.3333,0.3333,0.1667,0.1667,0.75,8,energy_first,27.5,4.94,-12.03,1.18,1.77,1.1259,11.26,-25.06,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7049,9.04,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,9,2112,mixed_balanced,6,2,1,1,2,0.3333,0.1667,0.1667,0.3333,0.75,8,energy_first,32.37,4.63,-4.67,6.15,9.23,1.1384,11.38,-25.28,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6872,11.32,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,10,1122,dual_arm_dominant,6,1,1,2,2,0.1667,0.1667,0.3333,0.3333,0.75,8,energy_first,23.91,3.7,-5.73,5.67,8.5,1.1384,11.38,-25.62,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7108,8.28,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,11,1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,8,energy_first,29.54,4.15,-3.68,7.79,11.69,1.1121,11.12,-26.49,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6935,10.51,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,12,2122,dual_arm_dominant,7,2,1,2,2,0.2857,0.1429,0.2857,0.2857,0.875,8,energy_first,25.48,4.08,-7.17,5.23,7.85,1.1705,11.7,-26.72,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7078,8.66,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,13,1211,single_arm_dominant,5,1,2,1,1,0.2,0.4,0.2,0.2,0.625,8,energy_first,35.27,4.88,-3.78,8.98,13.47,1.0941,10.94,-28.19,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.677,12.64,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,14,1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,8,energy_first,38.19,5.37,-4.8,9.64,14.46,1.0594,10.59,-29.85,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6699,13.55,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,15,1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,8,energy_first,29.14,4.46,-6.57,9.04,13.56,1.0941,10.94,-31.07,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6957,10.22,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
conservative_energy,energy saving and robustness are both emphasized,8,1.5,10,16,2111,single_arm_dominant,5,2,1,1,1,0.4,0.2,0.2,0.2,0.625,8,energy_first,33.11,5.93,-14.32,10.49,15.73,1.0941,10.94,-41.0,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6897,11.0,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,1,1221,mixed_balanced,6,1,2,2,1,0.1667,0.3333,0.3333,0.1667,0.75,10,energy_first,34.0,4.23,-8.25,3.24,6.48,1.1259,13.51,-28.24,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6796,12.31,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,2,1212,mixed_balanced,6,1,2,1,2,0.1667,0.3333,0.1667,0.3333,0.75,10,energy_first,37.66,3.86,-0.91,7.18,14.36,1.1384,13.66,-28.93,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6653,14.15,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,3,2222,balanced,8,2,2,2,2,0.25,0.25,0.25,0.25,1.0,10,energy_first,26.97,3.89,-11.97,1.38,2.76,1.2094,14.51,-29.24,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7022,9.38,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,4,1222,dual_arm_dominant,7,1,2,2,2,0.1429,0.2857,0.2857,0.2857,0.875,10,energy_first,30.5,3.45,-3.99,6.02,12.04,1.1705,14.05,-30.08,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6876,11.27,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,5,2212,single_arm_dominant,7,2,2,1,2,0.2857,0.2857,0.1429,0.2857,0.875,10,energy_first,31.99,4.36,-11.58,3.15,6.3,1.1705,14.05,-31.93,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6875,11.29,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,6,2221,single_arm_dominant,7,2,2,2,1,0.2857,0.2857,0.2857,0.1429,0.875,10,energy_first,32.01,4.72,-15.18,2.09,4.18,1.1613,13.94,-33.3,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6891,11.08,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,7,2121,mixed_balanced,6,2,1,2,1,0.3333,0.1667,0.3333,0.1667,0.75,10,energy_first,32.19,4.63,-14.12,3.34,6.68,1.1259,13.51,-34.31,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6882,11.2,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,8,2211,single_arm_dominant,6,2,2,1,1,0.3333,0.3333,0.1667,0.1667,0.75,10,energy_first,27.5,4.94,-21.91,1.14,2.28,1.1259,13.51,-37.7,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7049,9.04,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,9,1122,dual_arm_dominant,6,1,1,2,2,0.1667,0.1667,0.3333,0.3333,0.75,10,energy_first,23.91,3.7,-13.14,5.69,11.38,1.1384,13.66,-38.18,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7108,8.28,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,10,1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,10,energy_first,29.54,4.15,-11.98,7.94,15.88,1.1121,13.35,-41.21,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6935,10.51,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,11,2122,dual_arm_dominant,7,2,1,2,2,0.2857,0.1429,0.2857,0.2857,0.875,10,energy_first,25.48,4.08,-15.34,6.21,12.42,1.1705,14.05,-41.81,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.7078,8.66,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,12,2112,mixed_balanced,6,2,1,1,2,0.3333,0.1667,0.1667,0.3333,0.75,10,energy_first,32.37,4.63,-13.94,7.45,14.9,1.1384,13.66,-42.5,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6872,11.32,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,13,1211,single_arm_dominant,5,1,2,1,1,0.2,0.4,0.2,0.2,0.625,10,energy_first,35.27,4.88,-13.55,10.1,20.2,1.0941,13.13,-46.88,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.677,12.64,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,14,1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,10,energy_first,38.19,5.37,-15.54,9.52,19.04,1.0594,12.71,-47.29,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6699,13.55,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
strict_energy_saving,strong energy saving preference and strict robustness requirement,10,2,12,15,1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,10,energy_first,29.14,4.46,-15.5,9.74,19.48,1.0941,13.13,-48.11,recommend_2arm,2arm,0.6,0.6,0.6,0.7749,0.6957,10.22,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
