lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
0.5,0_5,0.5,8,16,16,0,100.0,18.12,10.15,24.17,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,10,16,16,0,100.0,15.85,7.88,21.89,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,12,16,16,0,100.0,13.59,5.6,19.61,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,15,16,16,0,100.0,10.19,2.18,16.2,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,20,16,14,2,87.5,4.52,-3.51,10.51,1.25,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,25,16,9,7,56.25,-1.14,-9.2,4.81,1.3,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,0,16,16,0,100.0,25.36,16.46,30.82,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,2,16,16,0,100.0,23.09,14.18,28.54,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,4,16,16,0,100.0,20.82,11.91,26.27,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,6,16,16,0,100.0,18.56,9.63,23.99,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,8,16,16,0,100.0,16.29,7.35,21.71,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,10,16,16,0,100.0,14.03,5.08,19.44,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,12,16,16,0,100.0,11.76,2.8,17.16,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,15,16,15,1,93.75,8.36,-0.62,13.74,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
