lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
3,3,2,15,16,0,16,0.0,-7.55,-15.53,-0.3,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,20,16,0,16,0.0,-13.22,-21.22,-6.15,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,25,16,0,16,0.0,-18.88,-26.91,-12.0,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,0,16,16,0,100.0,13.41,7.73,22.23,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,2,16,16,0,100.0,11.15,5.48,19.95,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,4,16,16,0,100.0,8.88,3.23,17.68,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,6,16,16,0,100.0,6.62,0.97,15.4,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,8,16,13,3,81.25,4.35,-1.28,13.12,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,10,16,11,5,68.75,2.09,-3.53,10.85,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,12,16,8,8,50.0,-0.18,-5.78,8.57,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,15,16,3,13,18.75,-3.58,-9.16,5.15,0.86,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,20,16,0,16,0.0,-9.25,-14.79,-0.54,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0,25,16,0,16,0.0,-14.91,-20.42,-6.23,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,0,16,16,0,100.0,11.19,5.89,19.36,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,2,16,16,0,100.0,8.92,3.7,17.08,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,4,16,16,0,100.0,6.65,1.51,14.81,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,6,16,14,2,87.5,4.39,-0.67,12.53,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,8,16,11,5,68.75,2.12,-2.86,10.25,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,10,16,9,7,56.25,-0.14,-5.11,7.98,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,12,16,3,13,18.75,-2.41,-7.39,5.7,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,15,16,1,15,6.25,-5.81,-10.8,2.28,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,20,16,0,16,0.0,-11.47,-16.49,-3.41,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,0.5,25,16,0,16,0.0,-17.14,-22.19,-9.1,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,0,16,16,0,100.0,8.96,2.38,16.49,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,2,16,16,0,100.0,6.69,0.19,14.21,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,4,16,13,3,81.25,4.42,-2.0,11.94,0.8,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,6,16,10,6,62.5,2.16,-4.18,9.66,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,8,16,9,7,56.25,-0.11,-6.37,7.38,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,10,16,5,11,31.25,-2.37,-8.56,5.11,0.85,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,12,16,2,14,12.5,-4.64,-10.75,2.83,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,15,16,0,16,0.0,-8.04,-14.03,-0.59,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,20,16,0,16,0.0,-13.71,-19.5,-6.28,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1,25,16,0,16,0.0,-19.37,-25.0,-11.97,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,0,16,14,2,87.5,6.73,-1.13,13.62,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,2,16,11,5,68.75,4.46,-3.32,11.34,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,4,16,10,6,62.5,2.2,-5.51,9.07,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,6,16,8,8,50.0,-0.07,-7.69,6.79,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,8,16,6,10,37.5,-2.34,-9.88,4.51,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,10,16,4,12,25.0,-4.6,-12.07,2.24,0.86,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,12,16,0,16,0.0,-6.87,-14.26,-0.04,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,15,16,0,16,0.0,-10.27,-17.54,-3.46,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,20,16,0,16,0.0,-15.93,-23.01,-9.15,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,1.5,25,16,0,16,0.0,-21.6,-28.48,-14.84,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,0,16,11,5,68.75,4.5,-4.64,12.28,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,2,16,11,5,68.75,2.23,-6.83,9.94,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,4,16,9,7,56.25,-0.03,-9.02,7.6,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,6,16,6,10,37.5,-2.3,-11.2,5.26,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,8,16,5,11,31.25,-4.57,-13.39,2.92,0.85,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,10,16,1,15,6.25,-6.83,-15.58,0.58,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,12,16,0,16,0.0,-9.1,-17.77,-1.77,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,15,16,0,16,0.0,-12.5,-21.05,-5.28,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,20,16,0,16,0.0,-18.16,-26.52,-11.13,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
4,4,2,25,16,0,16,0.0,-23.83,-31.99,-16.98,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,0,16,16,0,100.0,8.96,2.79,18.37,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,2,16,16,0,100.0,6.69,0.54,16.09,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,4,16,14,2,87.5,4.43,-1.71,13.82,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,6,16,12,4,75.0,2.16,-3.97,11.54,0.8,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,8,16,8,8,50.0,-0.1,-6.22,9.26,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,10,16,4,12,25.0,-2.37,-8.47,6.99,0.86,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,12,16,1,15,6.25,-4.64,-10.72,4.71,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,15,16,1,15,6.25,-8.04,-14.1,1.29,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,20,16,0,16,0.0,-13.7,-19.73,-4.4,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0,25,16,0,16,0.0,-19.37,-25.36,-10.09,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,0,16,15,1,93.75,6.6,-0.46,15.38,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,2,16,14,2,87.5,4.34,-2.65,13.1,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,4,16,11,5,68.75,2.07,-4.84,10.83,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,6,16,9,7,56.25,-0.2,-7.03,8.55,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,8,16,4,12,25.0,-2.46,-9.22,6.27,0.86,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,10,16,2,14,12.5,-4.73,-11.41,4.0,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,12,16,1,15,6.25,-6.99,-13.59,1.72,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,15,16,0,16,0.0,-10.39,-16.88,-1.7,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,20,16,0,16,0.0,-16.06,-22.35,-7.39,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,0.5,25,16,0,16,0.0,-21.72,-27.82,-13.08,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,0,16,13,3,81.25,4.25,-4.4,12.39,0.8,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,2,16,9,7,56.25,1.98,-6.59,10.11,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,4,16,8,8,50.0,-0.28,-8.78,7.84,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,6,16,6,10,37.5,-2.55,-10.96,5.56,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,8,16,2,14,12.5,-4.82,-13.15,3.28,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,10,16,1,15,6.25,-7.08,-15.34,1.01,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,12,16,0,16,0.0,-9.35,-17.53,-1.27,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,15,16,0,16,0.0,-12.75,-20.81,-4.69,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,20,16,0,16,0.0,-18.41,-26.28,-10.38,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1,25,16,0,16,0.0,-24.08,-31.75,-16.07,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,0,16,9,7,56.25,1.89,-8.33,9.4,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,2,16,8,8,50.0,-0.38,-10.52,7.12,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,4,16,7,9,43.75,-2.64,-12.71,4.85,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,6,16,3,13,18.75,-4.91,-14.9,2.57,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,8,16,1,15,6.25,-7.17,-17.09,0.29,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,10,16,0,16,0.0,-9.44,-19.28,-1.98,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,12,16,0,16,0.0,-11.71,-21.46,-4.26,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,15,16,0,16,0.0,-15.11,-24.75,-7.68,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,20,16,0,16,0.0,-20.77,-30.22,-13.37,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,1.5,25,16,0,16,0.0,-26.44,-35.69,-19.06,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,0,16,9,7,56.25,-0.47,-12.27,7.27,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,2,16,7,9,43.75,-2.73,-14.46,4.93,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,4,16,6,10,37.5,-5.0,-16.65,2.59,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,6,16,2,14,12.5,-7.26,-18.83,0.25,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,8,16,0,16,0.0,-9.53,-21.02,-2.09,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,10,16,0,16,0.0,-11.79,-23.21,-4.43,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,12,16,0,16,0.0,-14.06,-25.4,-6.7,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,15,16,0,16,0.0,-17.46,-28.68,-10.08,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,20,16,0,16,0.0,-23.13,-34.15,-15.71,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
5,5,2,25,16,0,16,0.0,-28.79,-39.62,-21.34,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,0,16,14,2,87.5,4.51,-2.46,14.52,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,2,16,12,4,75.0,2.24,-4.65,12.24,0.8,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,4,16,8,8,50.0,-0.03,-6.84,9.97,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,6,16,3,13,18.75,-2.29,-9.02,7.69,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,8,16,2,14,12.5,-4.56,-11.21,5.41,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,10,16,1,15,6.25,-6.82,-13.41,3.14,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,12,16,1,15,6.25,-9.09,-15.66,0.86,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,15,16,0,16,0.0,-12.49,-19.04,-2.56,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,20,16,0,16,0.0,-18.16,-24.67,-8.25,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0,25,16,0,16,0.0,-23.82,-30.3,-13.94,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,0,16,11,5,68.75,2.02,-6.83,11.41,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,2,16,7,9,43.75,-0.25,-9.02,9.13,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,4,16,4,12,25.0,-2.51,-11.21,6.86,0.86,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,6,16,3,13,18.75,-4.78,-13.39,4.58,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,8,16,1,15,6.25,-7.04,-15.58,2.3,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,10,16,1,15,6.25,-9.31,-17.77,0.03,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,12,16,0,16,0.0,-11.58,-19.96,-2.25,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,15,16,0,16,0.0,-14.97,-23.24,-5.67,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,20,16,0,16,0.0,-20.64,-28.71,-11.36,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,0.5,25,16,0,16,0.0,-26.3,-34.18,-17.05,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,0,16,7,9,43.75,-0.46,-11.2,8.3,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,2,16,6,10,37.5,-2.73,-13.39,6.02,0.85,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,4,16,2,14,12.5,-5.0,-15.58,3.75,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,6,16,1,15,6.25,-7.26,-17.76,1.47,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,8,16,0,16,0.0,-9.53,-19.95,-0.81,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,10,16,0,16,0.0,-11.79,-22.14,-3.08,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,12,16,0,16,0.0,-14.06,-24.33,-5.36,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,15,16,0,16,0.0,-17.46,-27.61,-8.78,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,20,16,0,16,0.0,-23.12,-33.08,-14.47,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1,25,16,0,16,0.0,-28.79,-38.55,-20.16,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,0,16,7,9,43.75,-2.95,-15.57,5.19,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,2,16,3,13,18.75,-5.21,-17.76,2.91,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,4,16,1,15,6.25,-7.48,-19.95,0.64,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,6,16,0,16,0.0,-9.75,-22.13,-1.64,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,8,16,0,16,0.0,-12.01,-24.32,-3.92,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,10,16,0,16,0.0,-14.28,-26.51,-6.19,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,12,16,0,16,0.0,-16.55,-28.7,-8.47,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,15,16,0,16,0.0,-19.94,-31.98,-11.89,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,20,16,0,16,0.0,-25.61,-37.45,-17.58,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,1.5,25,16,0,16,0.0,-31.27,-42.92,-23.27,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,0,16,5,10,31.25,-5.43,-19.94,2.51,0.85,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,2,16,1,15,6.25,-7.7,-22.13,0.26,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,4,16,0,16,0.0,-9.96,-24.32,-1.99,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,6,16,0,16,0.0,-12.23,-26.5,-4.25,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,8,16,0,16,0.0,-14.5,-28.69,-6.5,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,10,16,0,16,0.0,-16.76,-30.88,-8.75,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,12,16,0,16,0.0,-19.03,-33.07,-11.0,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,15,16,0,16,0.0,-22.43,-36.35,-14.38,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,20,16,0,16,0.0,-28.09,-41.82,-20.01,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
6,6,2,25,16,0,16,0.0,-33.76,-47.29,-25.64,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,0,16,3,13,18.75,-4.41,-14.32,6.8,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,2,16,2,14,12.5,-6.67,-16.51,4.52,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,4,16,1,15,6.25,-8.94,-18.7,2.25,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,6,16,0,16,0.0,-11.2,-20.88,-0.03,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,8,16,0,16,0.0,-13.47,-23.07,-2.31,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,10,16,0,16,0.0,-15.73,-25.26,-4.58,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,12,16,0,16,0.0,-18.0,-27.45,-6.86,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,15,16,0,16,0.0,-21.4,-30.73,-10.28,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,20,16,0,16,0.0,-27.07,-36.2,-15.97,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0,25,16,0,16,0.0,-32.73,-41.67,-21.66,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,0,16,2,14,12.5,-7.16,-19.57,3.45,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,2,16,1,15,6.25,-9.42,-21.75,1.17,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,4,16,0,16,0.0,-11.69,-23.94,-1.1,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,6,16,0,16,0.0,-13.95,-26.13,-3.38,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,8,16,0,16,0.0,-16.22,-28.32,-5.66,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,10,16,0,16,0.0,-18.48,-30.51,-7.93,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,12,16,0,16,0.0,-20.75,-32.69,-10.21,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,15,16,0,16,0.0,-24.15,-35.98,-13.63,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,20,16,0,16,0.0,-29.81,-41.45,-19.32,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,0.5,25,16,0,16,0.0,-35.48,-46.92,-25.01,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,0,16,1,15,6.25,-9.9,-24.81,0.1,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,2,16,0,16,0.0,-12.17,-27.0,-2.18,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,4,16,0,16,0.0,-14.43,-29.19,-4.45,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,6,16,0,16,0.0,-16.7,-31.37,-6.73,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,8,16,0,16,0.0,-18.96,-33.56,-9.01,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,10,16,0,16,0.0,-21.23,-35.75,-11.28,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,12,16,0,16,0.0,-23.5,-37.94,-13.56,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,15,16,0,16,0.0,-26.9,-41.22,-16.98,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,20,16,0,16,0.0,-32.56,-46.69,-22.67,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1,25,16,0,16,0.0,-38.22,-52.16,-28.36,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,0,16,0,16,0.0,-12.65,-30.05,-3.25,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,2,16,0,16,0.0,-14.91,-32.24,-5.53,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,4,16,0,16,0.0,-17.18,-34.43,-7.8,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,6,16,0,16,0.0,-19.45,-36.62,-10.08,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,8,16,0,16,0.0,-21.71,-38.81,-12.36,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,10,16,0,16,0.0,-23.98,-41.0,-14.63,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,12,16,0,16,0.0,-26.24,-43.18,-16.91,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,15,16,0,16,0.0,-29.64,-46.47,-20.33,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,20,16,0,16,0.0,-35.31,-51.94,-26.02,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,1.5,25,16,0,16,0.0,-40.97,-57.41,-31.71,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,0,16,0,16,0.0,-15.39,-35.3,-6.12,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,2,16,0,16,0.0,-17.66,-37.49,-8.37,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,4,16,0,16,0.0,-19.93,-39.68,-10.62,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,6,16,0,16,0.0,-22.19,-41.86,-12.88,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,8,16,0,16,0.0,-24.46,-44.05,-15.13,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,10,16,0,16,0.0,-26.72,-46.24,-17.38,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,12,16,0,16,0.0,-28.99,-48.43,-19.63,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,15,16,0,16,0.0,-32.39,-51.71,-23.01,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,20,16,0,16,0.0,-38.05,-57.18,-28.64,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
8,8,2,25,16,0,16,0.0,-43.72,-62.65,-34.27,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
10,10,0,0,16,0,16,0.0,-13.32,-26.18,-0.91,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
10,10,0,2,16,0,16,0.0,-15.58,-28.37,-3.19,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
10,10,0,4,16,0,16,0.0,-17.85,-30.56,-5.46,0.6,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
