sensitivity_case,counts_code,n1,n2,n3,n4,total_tasks,scenario_type,seed_count,method,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,mean_energy_2B_original,feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,opt_energy_2B,opt_cmax_2B,active_constraints_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,mean_energy_3B_original,feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,opt_energy_3B,opt_cmax_3B,active_constraints_3B,kkt_pass_3B,infeasible_reason_3B,energy_advantage_2B_minus_3B,recommended_mode,recommendation,recommendation_reason
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916262,0.96873,12049.354227,2524.011105,none,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.32269,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.96873,12049.354227,2524.011615,none,1,,1674.666667,12578.0,1,0.91626,0.968729,12549.900147,1768.322691,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.968729,12049.354227,2524.012871,none,1,,1674.666667,12578.0,1,0.91626,0.968729,12549.900147,1768.322824,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.968729,12049.354227,2524.012961,none,1,,1674.666667,12578.0,1,0.916262,0.96873,12549.900147,1768.321077,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.96873,12049.354227,2524.012166,none,1,,1674.666667,12578.0,1,0.916262,0.96873,12549.900147,1768.3211,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.96873,12049.354227,2524.012245,none,1,,1674.666667,12578.0,1,0.916262,0.96873,12549.900147,1768.321122,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.968729,12049.354227,2524.013145,none,1,,1674.666667,12578.0,1,0.916262,0.968729,12549.900147,1768.321192,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.7,1638.7,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.432113,1.42622,11087.00087,1638.699977,deadline,1,,1646.666667,10282.333333,1,0.980184,1.022016,10282.888492,1638.699798,deadline,1,,804.112378,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.75,1755.75,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.332174,1.334107,10668.701465,1755.749965,deadline,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.755574,none,1,,409.339356,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.8,1872.8,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.244273,1.253848,10362.799501,1872.799958,deadline,1,,1646.666667,10282.333333,1,0.916262,0.96873,10259.362109,1738.754893,none,1,,103.437392,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.85,1989.85,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.165855,1.183656,10143.590471,1989.84994,deadline,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.755598,none,1,,-115.771638,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.9,2106.9,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.095726,1.12161,9992.299122,2106.899899,deadline,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.756614,none,1,,-267.062987,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,0.95,2223.95,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,1.032418,1.066553,9894.949263,2223.949846,deadline,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.756605,none,1,,-364.412846,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.0,2341.0,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.974847,1.017503,9840.961748,2340.999661,deadline,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.756075,none,1,,-418.400361,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.05,2458.05,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.922209,0.973619,9822.207234,2458.046529,deadline,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.756129,none,1,,-437.154875,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.1,2575.1,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.96873,9822.008033,2471.919377,none,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.756155,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.15,2692.15,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916262,0.96873,9822.008033,2471.918365,none,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.756193,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.2,2809.2,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916262,0.96873,9822.008033,2471.918985,none,1,,1646.666667,10282.333333,1,0.916261,0.96873,10259.362109,1738.756209,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.25,2926.25,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.96873,9822.008033,2471.919292,none,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.75677,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.3,3043.3,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.968729,9822.008033,2471.920564,none,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.756764,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.35,3160.35,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.968729,9822.008033,2471.920584,none,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.756769,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.4,3277.4,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.968729,9822.008033,2471.920562,none,1,,1646.666667,10282.333333,1,0.91626,0.968729,10259.362109,1738.756779,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1121,1,1,2,1,5,dual_arm_dominant,3,optimized,1.5,3511.5,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,9844.0,1,0.916261,0.96873,9822.008033,2471.919867,none,1,,1646.666667,10282.333333,1,0.916261,0.968729,10259.362109,1738.756766,none,1,,-437.354076,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.7,2005.266667,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.432456,1.426637,15731.821499,2005.26665,deadline,1,,2172.666667,14493.333333,1,1.063713,1.093642,14633.114549,2005.266597,deadline,1,,1098.70695,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.75,2148.5,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.331956,1.334023,15137.708176,2148.499967,deadline,1,,2172.666667,14493.333333,1,0.984151,1.025364,14501.29625,2148.49982,deadline,1,,636.411926,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.8,2291.733333,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.243624,1.253213,14704.076977,2291.733292,deadline,1,,2172.666667,14493.333333,1,0.916264,0.968732,14464.633729,2285.603967,none,1,,239.443248,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.85,2434.966667,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.164609,1.182493,14394.230965,2434.966614,deadline,1,,2172.666667,14493.333333,1,0.916262,0.96873,14464.633729,2285.609047,none,1,,-70.402764,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.9,2578.2,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.093908,1.119917,14181.366248,2578.19991,deadline,1,,2172.666667,14493.333333,1,0.916262,0.96873,14464.633729,2285.609625,none,1,,-283.26748,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,0.95,2721.433333,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,1.029867,1.064395,14045.529688,2721.433191,deadline,1,,2172.666667,14493.333333,1,0.916262,0.96873,14464.633729,2285.609922,none,1,,-419.104041,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.0,2864.666667,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.971667,1.014796,13971.617975,2864.666364,deadline,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610532,none,1,,-493.015753,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.05,3007.9,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.918303,0.970391,13948.024462,3007.891185,deadline,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610464,none,1,,-516.609267,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
