deadline_type,deadline_multiplier_of_2B_cmax,deadline_value,deadline_note,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,status_2arm,reason_2arm,required_speed_2arm,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,status_3arm,reason_3arm,required_speed_3arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,recommendation,recommendation_reason,energy_advantage_selected_vs_other_percent,solve_method,model,energy_model,rho_dynamic_energy,speed_min,speed_max,data_source
loose_deadline,1.5,4297.01,time requirement is loose,,dual_arm_dominant,6,1,1,2,2,2864.67,2172.67,13975.67,14493.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4297.0,8540.69,OPTIMAL,solved by interior point method and 0.618 search,0.5056,0.6,3621.12,8000.32,recommend_3arm,"both feasible, 3arm has lower energy",6.33,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2864.67,time requirement equals original 2-arm Cmax,,dual_arm_dominant,6,1,1,2,2,2864.67,2172.67,13975.67,14493.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2864.67,13975.67,OPTIMAL,solved by interior point method and 0.618 search,0.7584,0.7584,2864.67,10183.85,recommend_3arm,"both feasible, 3arm has lower energy",27.13,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2291.74,time requirement is tight,,dual_arm_dominant,6,1,1,2,2,2864.67,2172.67,13975.67,14493.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2291.74,19478.59,OPTIMAL,solved by interior point method and 0.618 search,0.948,0.948,2291.74,13466.52,recommend_3arm,"both feasible, 3arm has lower energy",30.86,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,2005.27,time requirement is very urgent,,dual_arm_dominant,6,1,1,2,2,2864.67,2172.67,13975.67,14493.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.0835,1.0835,2005.27,16257.91,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,4033.99,time requirement is loose,,mixed_balanced,6,1,2,1,2,2689.33,1667.33,12514.67,12997.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4033.99,7647.85,OPTIMAL,solved by interior point method and 0.618 search,0.4133,0.6,2778.88,7174.34,recommend_3arm,"both feasible, 3arm has lower energy",6.19,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2689.33,time requirement equals original 2-arm Cmax,,mixed_balanced,6,1,2,1,2,2689.33,1667.33,12514.67,12997.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2689.33,12514.67,OPTIMAL,solved by interior point method and 0.618 search,0.62,0.62,2689.33,7396.1,recommend_3arm,"both feasible, 3arm has lower energy",40.9,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2151.46,time requirement is tight,,mixed_balanced,6,1,2,1,2,2689.33,1667.33,12514.67,12997.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2151.46,17442.32,OPTIMAL,solved by interior point method and 0.618 search,0.775,0.775,2151.46,9363.17,recommend_3arm,"both feasible, 3arm has lower energy",46.32,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1882.53,time requirement is very urgent,,mixed_balanced,6,1,2,1,2,2689.33,1667.33,12514.67,12997.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.8857,0.8857,1882.53,11035.84,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3649.5,time requirement is loose,,mixed_balanced,6,2,1,1,2,2433.0,1644.33,11829.33,12374.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3649.5,7229.04,OPTIMAL,solved by interior point method and 0.618 search,0.4506,0.6,2740.55,6830.45,recommend_3arm,"both feasible, 3arm has lower energy",5.51,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2433.0,time requirement equals original 2-arm Cmax,,mixed_balanced,6,2,1,1,2,2433.0,1644.33,11829.33,12374.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2433.0,11829.33,OPTIMAL,solved by interior point method and 0.618 search,0.6758,0.6758,2433.0,7668.62,recommend_3arm,"both feasible, 3arm has lower energy",35.17,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
