sensitivity_case,counts_code,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,opt_energy,opt_cmax,active_constraints,g_single_lower,g_single_upper,g_dual_lower,g_dual_upper,g_deadline,mu_single_lower,mu_single_upper,mu_dual_lower,mu_dual_upper,mu_deadline,stationarity_single_residual,stationarity_dual_residual,stationarity_norm,max_complementarity_error,primal_min,dual_min,kkt_pass,kkt_note
baseline,1112,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.97483,1.017515,12072.606066,2390.333053,deadline,0.3748304337,0.8251695663,0.4175146309,0.7824853691,0.000280368,0.0,0.0,0.0,0.0,0.3611231085,0.11179603,-0.0812004226,0.1381733004,0.0001012474,0.000280368,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.322701,none,0.3162605322,0.8837394678,0.3687292205,0.8312707795,622.0106326381,0.0,0.0,0.0,0.0,0.0,0.0014084281,-0.0009600337,0.0017045042,0.0,0.3162605322,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.92221,0.973618,12049.598577,2509.847156,deadline,0.3222097836,0.8777902164,0.3736181606,0.8263818394,0.002844417,0.0,0.0,0.0,0.0,0.034620892,0.0540783495,-0.0401837119,0.0673735748,9.84763e-05,0.002844417,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.32269,none,0.3162605198,0.8837394802,0.3687292401,0.8312707599,741.5273104299,0.0,0.0,0.0,0.0,0.0,0.0013232875,-0.0007400516,0.0015161682,0.0,0.3162605198,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.968729,12049.354227,2524.012803,none,0.3162608927,0.8837391073,0.3687291815,0.8312708185,105.353863487,0.0,0.0,0.0,0.0,0.0,0.003729312,-0.0013410649,0.0039631077,0.0,0.3162608927,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.322673,none,0.3162605216,0.8837394784,0.3687292541,0.8312707459,861.043993569,0.0,0.0,0.0,0.0,0.0,0.0013358566,-0.0005829227,0.0014575019,0.0,0.3162605216,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916262,0.96873,12049.354227,2524.011105,none,0.3162615514,0.8837384486,0.3687298017,0.8312701983,224.8722282586,0.0,0.0,0.0,0.0,0.0,0.008072918,0.0053324078,0.0096750493,0.0,0.3162615514,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.32269,none,0.3162605074,0.8837394926,0.3687292493,0.8312707507,980.5606437802,0.0,0.0,0.0,0.0,0.0,0.0012383858,-0.0006366268,0.0013924414,0.0,0.3162605074,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,12049.354227,2524.011615,none,0.3162613258,0.8837386742,0.3687296363,0.8312703637,344.3883850264,0.0,0.0,0.0,0.0,0.0,0.0065849747,0.0035518811,0.0074818281,0.0,0.3162613258,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12549.900147,1768.322691,none,0.3162604958,0.8837395042,0.3687292568,0.8312707432,1100.0773091419,0.0,0.0,0.0,0.0,0.0,0.0011587834,-0.0005534831,0.0012841816,0.0,0.3162604958,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.968729,12049.354227,2524.012871,none,0.3162608583,0.8837391417,0.3687291629,0.8312708371,463.9037958593,0.0,0.0,0.0,0.0,0.0,0.0035029062,-0.0015418761,0.0038272358,0.0,0.3162608583,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12549.900147,1768.322824,none,0.3162604037,0.8837395963,0.3687292012,0.8312707988,1219.5938428697,0.0,0.0,0.0,0.0,0.0,0.0005264331,-0.0011759428,0.0012883995,0.0,0.3162604037,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.968729,12049.354227,2524.012961,none,0.3162607838,0.8837392162,0.3687291593,0.8312708407,583.4203722492,0.0,0.0,0.0,0.0,0.0,0.0030113145,-0.001579663,0.0034004926,0.0,0.3162607838,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.96873,12549.900147,1768.321077,none,0.3162621599,0.8837378401,0.3687295235,0.8312704765,1339.1122558589,0.0,0.0,0.0,0.0,0.0,0.0125872518,0.0024356134,0.0128207301,0.0,0.3162621599,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,12049.354227,2524.012166,none,0.3162609224,0.8837390776,0.368729576,0.831270424,702.9378336395,0.0,0.0,0.0,0.0,0.0,0.0039255767,0.0029038335,0.0048828681,0.0,0.3162609224,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
