counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,max_cmax_2B_original,mean_energy_2B_original,max_energy_2B_original,robust_feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,worst_energy_z_2B,mean_energy_after_speed_2B,max_cmax_after_speed_2B,worst_energy_seed_2B,binding_time_seed_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,max_cmax_3B_original,mean_energy_3B_original,max_energy_3B_original,robust_feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,worst_energy_z_3B,mean_energy_after_speed_3B,max_cmax_after_speed_3B,worst_energy_seed_3B,binding_time_seed_3B,kkt_pass_3B,infeasible_reason_3B,worst_energy_gap_2B_minus_3B,worst_energy_gap_percent_vs_2B,recommended_mode,recommendation,recommendation_reason
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.027336,1.072984,12311.366365,12141.785546,2390.333136,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-426.113781,-3.4611,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.975345,1.024134,12244.98431,12076.317859,2509.85,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-492.495836,-4.022,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.928232,0.979652,12218.765074,12050.459776,2629.340407,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-518.715072,-4.2452,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,0.91626,0.968729,12217.644085,12049.354227,2660.931561,1,1,1,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-519.836061,-4.2548,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
