counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.495841,1.512961,14278.784549,1673.233333,1,1,-6.99e-08,0.0,-0.0049970391,0.003408047,0.9999634135,0.9999817066,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:3.65865e-05;time_seed_1:0.000219607,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.987893,1.035639,12778.862935,1673.233333,1,1,-6.66e-08,0.0,-0.0171195278,0.0125428804,0.9995493949,0.9997746721,0.0,time_seed_1+energy_seed_1+time_seed_2,"1,2",1,energy_seed_1:0.000450605;time_seed_1:0.00032462,0,KKT residual is reported for numerical inspection
